"시점","사용액","시도","광역","체감BSI","대형소매점판매지수","소비자물가지수","동행종합지수","총인구수","인구밀도","사업체수","인구대비업체수","소비자심리지수"
"2021.07",331071181183,"인천","인천","26.1",104.9,102.36,100.6,2937440,2752.98969072165,107679,0.036657429598562,100.6
"2021.08",327210078497,"인천","인천","25.4",101.6,102.94,101,2938429,2753.91658856607,107679,0.0366450916459101,101
"2021.09",370942612072,"인천","인천","55.7",114.3,103.41,101.2,2941795,2757.07122774133,107679,0.0366031623549568,104.7
"2021.10",349580518008,"인천","인천","63.2",108.8,103.56,101.7,2945009,2760.08341143393,105253,0.0357394493531259,106.9
"2021.11",421172562505,"인천","인천","66.1",98.7,104.06,101.6,2946319,2761.31115276476,105253,0.0357235587864043,107
"2021.12",439361257103,"인천","인천","37.9",107.1,104.38,102.1,2948375,2763.23805060918,105253,0.0356986475600967,103.9
"2022.01",491187999967,"인천","인천","41.3",114.8,104.99,101.9,2949150,2763.96438612933,110782,0.0375640438770493,103.4
"2022.02",378811192987,"인천","인천","37.1",88,105.64,101.8,2950978,2765.67760074977,110782,0.0375407746177708,107.6
"2022.03",430460151206,"인천","인천","51.7",103.5,106.29,102.2,2952699,2767.29053420806,110782,0.0375188937307866,104.4
"2022.04",447917575195,"인천","인천","76.2",104.3,107.1,102.2,2953260,2767.81630740394,115771,0.0392010862572208,105.1
"2022.05",476014919395,"인천","인천","72.7",106.8,107.82,103.1,2955167,2769.60356138707,115771,0.0391757893885523,104.6
"2022.06",469764087919,"인천","인천","65.0",98.1,108.49,103.1,2957066,2771.38331771321,115771,0.0391506310647108,99.2
"2022.07",352638715909,"인천","인천","44.8",101.8,108.9,104.3,2960580,2774.67666354264,120914,0.0408413216329233,88.1
"2022.08",281740165082,"인천","인천","57.0",101.4,108.66,104.8,2963117,2777.05435801312,120914,0.0408063535796933,89.3
"2022.09",261405686182,"인천","인천","67.1",109.8,109.05,105.3,2960097,2774.22399250234,120914,0.0408479857247921,92.5
"2022.10",266385267549,"인천","인천","63.3",103.3,109.44,104.7,2962388,2776.37113402062,126021,0.0425403424534531,90.7
"2022.11",247742900830,"인천","인천","61.5",95.1,109.4,103.9,2964820,2778.65042174321,126021,0.0425054472109605,89.7
"2022.12",248332839933,"인천","인천","57.0",104.5,109.7,102.8,2967314,2780.9878163074,126021,0.042469721775316,90.7
"2023.01",243530579948,"인천","인천","52.4",111.9,110.52,101.8,2969502,2783.03842549203,112343,0.0378322695185927,88.7
"2023.02",222490970486,"인천","인천","58.4",88.6,110.65,101.9,2971788,2785.1808809747,112343,0.0378031676552971,89.8
"2023.03",240996432301,"인천","인천","70.3",102.6,110.78,101.9,2974481,2787.70477975633,112343,0.0377689418759105,92.9
